"Structure ID","Ligand ID","SMILES","InChiKey"
167,66,"O=C1N=Cc2c3c4N(c5c3cccc5)[C@]6(O[C@@H](N7c4c(c8c7ccc(O)c8)c21)C[C@@H](NC)[C@H]6OC)C","JTLFDPIJDGKVHW-FYTWVXJKSA-N"
167,1286,"S(=O)(=O)(Nc1ncccc1)c2ccc(N/C=C\3/c4c5SC=Nc5ccc4NC3=O)cc2","GCYXEGSPUDSZJY-PTNGSMBKSA-N"
167,1991,"Clc1c(ccc(c2nc(cnc2)C)c1)C=3C(=O)N(c4nc(ncc4C3)NCCC5CCN(CC5)C)CC","RYCBSFIKWACFBY-UHFFFAOYSA-N"
167,1992,"Clc1c(ccc(c2nc(ccc2)C)c1)C=3C(=O)N(c4nc(ncc4C3)NC)CC5OCC(N)CO5","ZBCMHWUFWQFPLV-UHFFFAOYSA-N"
167,2109,"Clc1c(ccc(N2C(=O)C(=NC=C2)C)c1)C=3C(=O)N(c4nc(ncc4C3)NC)CCCN","VTJYENUZSYEIJD-UHFFFAOYSA-N"
167,2256,"Clc1ccc(cc1)C(=O)C=2c3c(ncc(c3)C=4C=NN(C4)C5CCNCC5)NC2","AJHFOGJCDKOZKC-UHFFFAOYSA-N"
167,2257,"S(=O)(=O)(c1cc(N2CCOCC2)cc(Nc3nc(N(c4c(ccc(c4)CO)C)C)ccn3)c1)C","IVWHSTCJCURGMH-UHFFFAOYSA-N"
167,2360,"Clc1c(ccc(c2nc(cnc2)C)c1)C=3C(=O)N(c4nc(ncc4C3)NCC)CC5CCC(N)CC5","PJYRMGKJLXENCU-UHFFFAOYSA-N"
167,2910,"n1c(nccc1NC2=NNC(=C2)C3CC3)N[C@H](c4nc5c(NC=C5)cc4)C","GUERACYCGKAFOU-NSHDSACASA-N"
172,54,"Clc1cc2c(N(c3c(N=C2N[C@@H]4CN(C(=O)NC(C)(C)C)CC4)cc(F)cc3)CC)cc1","NIVBGOGCJSMNMG-KRWDZBQOSA-N"
172,55,"Clc1c2NC=Nc2ccc1CNc3nc(NC4=NNC(=C4)C5CC5)ccn3","DYLHVDVCWIEYSA-UHFFFAOYSA-N"
172,56,"Clc1cc2c(N(c3c(N=C2N4CCN(CC4)C)cc(F)cc3)CC)cc1","NQBRFDSRSGHBBK-UHFFFAOYSA-N"
172,57,"Fc1cc2N=C(N3CCN(CC3)C)c4c(Nc2cc1)ccc(F)c4","PYSIAKZWZJNMNM-UHFFFAOYSA-N"
172,58,"O(CCNC1=Nc2c(N1c3nc(ncc3)N)cc(C#CC4(O)CCCCC4)cc2)C","RZXMIHOUHYSGJO-UHFFFAOYSA-N"
172,59,"Clc1c(ccc(c1)C=2SC=NC2)C=3C(=O)N(c4nc(ncc4C3)Nc5ccc(N6CCN(CC6)C)cc5)CC","DHUJCQOUWQMVCG-UHFFFAOYSA-N"
172,60,"Clc1c(cc(cc1)CO)C(=O)C=2c3c(ncc(c3)C=4C=NN(C4)C5CCNCC5)NC2","RHZPBNHUNKAZOC-UHFFFAOYSA-N"
172,61,"S1c2c(nc(nc2C=C1)N3CCC(N)CC3)NC4=NNC(=C4)C5CC5","DNTNKJATBLJMII-UHFFFAOYSA-N"
172,62,"n1c(nccc1NC=2NN=C(C2)C3CC3)NCC4CCC(N)CC4","TUBDCTXNBUJRCI-UHFFFAOYSA-N"
172,63,"P(=O)(OP(=O)(OC[C@H]1O[C@@H](N2c3ncnc(N)c3N=C2)[C@H](O)[C@@H]1O)O)(OP(=O)(O)O)O","ZKHQWZAMYRWXGA-KQYNXXCUSA-N"
172,64,"P(=O)(OP(=O)(O)NP(=O)(O)O)(OC[C@H]1O[C@@H](N2c3ncnc(N)c3N=C2)[C@H](O)[C@@H]1O)O","PVKSNHVPLWYQGJ-KQYNXXCUSA-N"
172,65,"S1c2c(nc(nc2C=C1)C)NC3=NNC4=C3CN(C(=O)N[C@@H](c5ccccc5)CN(C)C)C4(C)C","AYCPARAPKDAOEN-LJQANCHMSA-N"
172,66,"O=C1N=Cc2c3c4N(c5c3cccc5)[C@]6(O[C@@H](N7c4c(c8c7ccc(O)c8)c21)C[C@@H](NC)[C@H]6OC)C","JTLFDPIJDGKVHW-FYTWVXJKSA-N"
172,1286,"S(=O)(=O)(Nc1ncccc1)c2ccc(N/C=C\3/c4c5SC=Nc5ccc4NC3=O)cc2","GCYXEGSPUDSZJY-PTNGSMBKSA-N"
172,1991,"Clc1c(ccc(c2nc(cnc2)C)c1)C=3C(=O)N(c4nc(ncc4C3)NCCC5CCN(CC5)C)CC","RYCBSFIKWACFBY-UHFFFAOYSA-N"
172,1992,"Clc1c(ccc(c2nc(ccc2)C)c1)C=3C(=O)N(c4nc(ncc4C3)NC)CC5OCC(N)CO5","ZBCMHWUFWQFPLV-UHFFFAOYSA-N"
172,2109,"Clc1c(ccc(N2C(=O)C(=NC=C2)C)c1)C=3C(=O)N(c4nc(ncc4C3)NC)CCCN","VTJYENUZSYEIJD-UHFFFAOYSA-N"
172,2256,"Clc1ccc(cc1)C(=O)C=2c3c(ncc(c3)C=4C=NN(C4)C5CCNCC5)NC2","AJHFOGJCDKOZKC-UHFFFAOYSA-N"
172,2257,"S(=O)(=O)(c1cc(N2CCOCC2)cc(Nc3nc(N(c4c(ccc(c4)CO)C)C)ccn3)c1)C","IVWHSTCJCURGMH-UHFFFAOYSA-N"
172,2360,"Clc1c(ccc(c2nc(cnc2)C)c1)C=3C(=O)N(c4nc(ncc4C3)NCC)CC5CCC(N)CC5","PJYRMGKJLXENCU-UHFFFAOYSA-N"
172,2910,"n1c(nccc1NC2=NNC(=C2)C3CC3)N[C@H](c4nc5c(NC=C5)cc4)C","GUERACYCGKAFOU-NSHDSACASA-N"
193,28,"O=C1NCc2c3c4N(c5c3cccc5)[C@]6(O[C@@H](N7c4c(c8c7cccc8)c21)C[C@@H](NC)[C@H]6OC)C","HKSZLNNOFSGOKW-FYTWVXJKSA-N"
193,69,"O(c1ccc(cc1)C=2C=NC=3N(N=CC3c4ccncc4)C2)CCN5CCCCC5","XHBVYDAKJHETMP-UHFFFAOYSA-N"
193,2017,"O1[C@@]2(N3c4c(cccc4)C5=C3C=6N(c7c(cccc7)C6[C@@H]8[C@@H](O)NC[C@H]58)[C@H]1C[C@@H](NC)[C@H]2OC)C","FJJCTPAMIAOFJX-VWKRKTLRSA-N"
193,3106,"C/N=C(/c1ccccc1Oc2c(cnc(n2)Nc3cc(c(c(c3)OC)OC)OC)Br)\O","NEXGBSJERNQRSV-UHFFFAOYSA-N"
196,28,"O=C1NCc2c3c4N(c5c3cccc5)[C@]6(O[C@@H](N7c4c(c8c7cccc8)c21)C[C@@H](NC)[C@H]6OC)C","HKSZLNNOFSGOKW-FYTWVXJKSA-N"
196,69,"O(c1ccc(cc1)C=2C=NC=3N(N=CC3c4ccncc4)C2)CCN5CCCCC5","XHBVYDAKJHETMP-UHFFFAOYSA-N"
